province;red;green;blue;x;x
984;221;114;246;prablv;x
985;105;235;183;prablw;x
986;203;254;211;prablx;x
987;207;114;196;prably;x
988;224;251;94;prablz;x
989;222;235;176;prabma;x
990;244;160;132;prabmb;x
991;205;204;224;prabmc;x
992;88;234;182;prabmd;x
993;254;135;172;prabme;x
994;246;165;168;prabmf;x
995;251;203;147;prabmg;x
996;245;243;161;prabmh;x
997;254;191;138;prabmi;x
998;181;182;221;prabmj;x
999;230;182;104;prabmk;x
1000;101;227;193;prabml;x
1001;137;206;201;prabmm;x
1002;248;206;120;prabmn;x
1003;144;253;179;prabmo;x
1004;195;141;240;prabmp;x
1005;194;161;243;prabmq;x
1006;210;205;207;prabmr;x
1007;174;165;237;prabms;x
1008;250;90;183;prabmt;x
1009;211;121;246;prabmu;x
1010;136;236;232;prabmv;x
1011;193;209;228;prabmw;x
1012;179;120;238;prabmx;x
1013;236;170;146;prabmy;x
1014;210;150;167;prabmz;x
1015;146;192;212;prabna;x
1016;145;141;234;prabnb;x
1017;210;223;197;prabnc;x
1018;238;246;205;prabnd;x
1019;36;229;240;prabne;x
1020;210;248;223;prabnf;x
1021;151;149;247;prabng;x
1022;177;197;169;prabnh;x
1023;170;204;137;prabni;x
1024;219;205;185;prabnj;x
1025;156;154;206;prabnk;x
1026;226;38;251;prabnl;x
1027;193;187;121;prabnm;x
1028;187;170;243;prabnn;x
1029;115;208;217;prabno;x
1030;82;220;211;prabnp;x
1031;250;83;235;prabnq;x
1032;250;176;125;prabnr;x
1033;231;202;94;prabns;x
1034;235;144;161;prabnt;x
1035;215;223;94;prabnu;x
1036;176;220;205;prabnv;x
1037;233;213;164;prabnw;x
1038;217;174;142;prabnx;x
1039;248;187;238;prabny;x
1040;205;202;110;prabnz;x
1041;109;196;201;praboa;x
1042;146;195;216;prabob;x
1043;184;206;237;praboc;x
1044;189;156;171;prabod;x
1045;91;224;223;praboe;x
1046;203;128;254;prabof;x
1047;236;200;229;prabog;x
1048;120;246;218;praboh;x
1049;199;247;230;praboi;x
1050;169;232;178;praboj;x
1051;160;160;227;prabok;x
1052;240;173;103;prabol;x
1053;196;107;214;prabom;x
1054;224;196;157;prabon;x
1055;251;75;180;praboo;x
1056;192;171;167;prabop;x
1057;91;220;241;praboq;x
1058;181;239;205;prabor;x
1059;86;221;253;prabos;x
1060;240;168;214;prabot;x
1061;206;94;223;prabou;x
1062;91;244;171;prabov;x
1063;133;137;239;prabow;x
1064;205;189;214;prabox;x
1065;186;237;198;praboy;x
1066;187;219;236;praboz;x
1067;206;186;205;prabpa;x
1068;235;208;163;prabpb;x
1069;231;217;99;prabpc;x
1070;235;161;226;prabpd;x
1071;198;240;169;prabpe;x
1072;131;216;253;prabpf;x
1073;203;171;220;prabpg;x
1074;211;185;225;prabph;x
1075;231;132;209;prabpi;x
1076;61;232;246;prabpj;x
1077;51;248;254;prabpk;x
1078;220;237;88;prabpl;x
1079;175;230;196;prabpm;x
1080;230;120;242;prabpn;x
1081;250;71;225;prabpo;x
1082;201;157;192;prabpp;x
1083;214;222;254;prabpq;x
1084;233;181;220;prabpr;x
1085;190;161;178;prabps;x
1086;197;189;118;prabpt;x
1087;251;92;230;prabpu;x
1088;238;128;151;prabpv;x
1089;148;156;239;prabpw;x
1090;211;164;182;prabpx;x
1091;252;199;198;prabpy;x
1092;239;158;157;prabpz;x
1093;160;122;226;prabqa;x
1094;217;83;236;prabqb;x
1095;176;232;120;prabqc;x
1096;251;223;231;prabqd;x
1097;195;241;237;prabqe;x
1098;203;225;156;prabqf;x
1099;238;172;158;prabqg;x
1100;250;200;192;prabqh;x
1101;134;199;236;prabqi;x
1102;238;155;153;prabqj;x
1103;247;171;162;prabqk;x
1104;193;223;129;prabql;x
1105;205;216;159;prabqm;x
1106;149;234;167;prabqn;x
1107;248;254;27;prabqo;x
1108;223;184;190;prabqp;x
1109;252;188;211;prabqq;x
1110;232;216;188;prabqr;x
1111;174;248;189;prabqs;x
1112;123;210;243;prabqt;x
1113;237;252;214;prabqu;x
1114;205;137;220;prabqv;x
1115;174;175;177;prabqw;x
1116;231;245;238;prabqx;x
1117;121;212;235;prabqy;x
1118;201;226;121;prabqz;x
1119;175;198;178;prabra;x
1120;243;183;172;prabrb;x
1121;62;219;241;prabrc;x
1122;217;226;208;prabrd;x
1123;203;249;68;prabre;x
1124;185;211;131;prabrf;x
1125;215;196;192;prabrg;x
1126;254;155;226;prabrh;x
1127;232;237;34;prabri;x
1128;234;253;136;prabrj;x
1129;242;151;244;prabrk;x
1130;231;31;254;prabrl;x
1131;221;156;130;prabrm;x
1132;226;152;195;prabrn;x
1133;177;98;245;prabro;x
1134;196;212;141;prabrp;x
1135;254;83;231;prabrq;x
1136;174;181;237;prabrr;x
1137;233;144;182;prabrs;x
1138;219;79;222;prabrt;x
1139;221;109;171;prabru;x
1140;254;226;37;prabrv;x
1141;158;130;235;prabrw;x
1142;197;119;232;prabrx;x
1143;134;241;223;prabry;x
1144;221;220;193;prabrz;x
1145;226;244;254;prabsa;x
1146;97;204;231;prabsb;x
1147;168;210;149;prabsc;x
1148;150;128;243;prabsd;x
1149;247;240;99;prabse;x
1150;162;226;216;prabsf;x
1151;216;117;247;prabsg;x
1152;203;70;243;prabsh;x
1153;199;213;201;prabsi;x
1154;244;157;202;prabsj;x
1155;231;154;140;prabsk;x
1156;253;170;152;prabsl;x
1157;205;175;170;prabsm;x
1158;96;197;221;prabsn;x
1159;234;214;68;prabso;x
1160;175;245;108;prabsp;x
1161;143;151;209;prabsq;x
1162;82;252;243;prabsr;x
1163;170;224;229;prabss;x
1164;233;98;182;prabst;x
1165;253;220;244;prabsu;x
1166;139;192;200;prabsv;x
1167;173;181;228;prabsw;x
1168;202;247;139;prabsx;x
1169;246;52;226;prabsy;x
1170;188;253;72;prabsz;x
1171;243;194;111;prabta;x
1172;206;237;61;prabtb;x
1173;177;240;169;prabtc;x
1174;226;224;63;prabtd;x
1175;249;136;148;prabte;x
1176;232;200;224;prabtf;x
1177;114;176;250;prabtg;x
1178;209;224;127;prabth;x
1179;171;92;240;prabti;x
1180;162;137;218;prabtj;x
1181;133;218;234;prabtk;x
1182;139;208;239;prabtl;x
1183;183;250;217;prabtm;x
1184;146;245;189;prabtn;x
1185;233;126;149;prabto;x
1186;208;97;222;prabtp;x
1187;215;159;236;prabtq;x
1188;222;102;190;prabtr;x
1189;168;228;181;prabts;x
1190;192;253;143;prabtt;x
1191;236;197;68;prabtu;x
1192;204;236;210;prabtv;x
1193;230;240;94;prabtw;x
1194;176;184;151;prabtx;x
1195;135;179;187;prabty;x
1196;201;123;214;prabtz;x
1197;151;166;237;prabua;x
1198;219;236;233;prabub;x
1199;222;245;139;prabuc;x
1200;173;165;250;prabud;x
1201;215;203;125;prabue;x
1202;206;163;137;prabuf;x
1203;197;238;206;prabug;x
1204;157;212;139;prabuh;x
1205;123;218;250;prabui;x
1206;164;224;182;prabuj;x
1207;141;199;170;prabuk;x
1208;244;191;78;prabul;x
1209;240;227;193;prabum;x
1210;206;212;90;prabun;x
1211;151;174;195;prabuo;x
1212;247;198;116;prabup;x
1213;224;121;217;prabuq;x
1214;243;216;206;prabur;x
1215;216;138;216;prabus;x
1216;166;214;180;prabut;x
1217;223;223;201;prabuu;x
1218;246;202;88;prabuv;x
1219;155;254;118;prabuw;x
1220;223;132;254;prabux;x
1221;198;59;254;prabuy;x
1222;169;166;243;prabuz;x
1223;93;198;244;prabva;x
1224;126;155;249;prabvb;x
1225;245;124;197;prabvc;x
1226;250;193;78;prabvd;x
1227;228;240;217;prabve;x
1228;138;194;205;prabvf;x
1229;74;254;199;prabvg;x
1230;205;104;204;prabvh;x
1231;214;109;224;prabvi;x
1232;201;252;118;prabvj;x
1233;245;237;133;prabvk;x
1234;237;115;157;prabvl;x
1235;237;203;204;prabvm;x
1236;220;107;191;prabvn;x
1237;238;176;248;prabvo;x
1238;253;141;114;prabvp;x
1239;239;79;237;prabvq;x
1240;239;158;207;prabvr;x
1241;159;247;176;prabvs;x
1242;196;222;163;prabvt;x
1243;131;199;177;prabvu;x
1244;193;133;194;prabvv;x
1245;183;152;202;prabvw;x
1246;188;235;229;prabvx;x
1247;137;239;180;prabvy;x
1248;230;246;94;prabvz;x
1249;71;216;218;prabwa;x
1250;254;191;236;prabwb;x
1251;222;152;247;prabwc;x
1252;252;56;211;prabwd;x
1253;239;195;84;prabwe;x
1254;221;111;177;prabwf;x
1255;205;185;215;prabwg;x
1256;227;248;102;prabwh;x
1257;236;143;161;prabwi;x
1258;200;183;170;prabwj;x
1259;213;182;118;prabwk;x
1260;224;186;195;prabwl;x
1261;143;147;225;prabwm;x
1262;228;221;190;prabwn;x
1263;213;192;193;prabwo;x
1264;230;152;210;prabwp;x
1265;194;180;165;prabwq;x
1266;173;209;141;prabwr;x
1267;128;216;199;prabws;x
1268;218;164;252;prabwt;x
1269;164;237;242;prabwu;x
1270;198;209;137;prabwv;x
1271;121;145;239;prabww;x
1272;253;158;208;prabwx;x
1273;224;200;117;prabwy;x
1274;81;246;177;prabwz;x
1275;233;189;103;prabxa;x
1276;170;189;146;prabxb;x
1277;98;227;239;prabxc;x
1278;241;47;232;prabxd;x
1279;226;153;223;prabxe;x
1280;220;182;168;prabxf;x
1281;138;148;229;prabxg;x
1282;234;226;229;prabxh;x
1283;165;163;244;prabxi;x
1284;183;236;93;prabxj;x
1285;196;243;134;prabxk;x
1286;246;212;45;prabxl;x
1287;193;120;218;prabxm;x
1288;236;175;173;prabxn;x
1289;123;198;209;prabxo;x
1290;220;240;193;prabxp;x
1291;176;180;252;prabxq;x
1292;182;207;226;prabxr;x
1293;238;218;70;prabxs;x
1294;254;220;239;prabxt;x
1295;129;152;250;prabxu;x
1296;126;183;239;prabxv;x
1297;228;246;209;prabxw;x
1298;165;243;100;prabxx;x
1299;248;207;51;prabxy;x
1300;147;227;130;prabxz;x
1301;203;109;233;prabya;x
1302;217;129;163;prabyb;x
1303;224;103;235;prabyc;x
1304;210;190;223;prabyd;x
1305;192;247;67;prabye;x
1306;194;253;187;prabyf;x
1307;221;218;125;prabyg;x
1308;200;241;74;prabyh;x
1309;193;243;92;prabyi;x
1310;198;148;213;prabyj;x
1311;228;159;241;prabyk;x
1312;85;241;240;prabyl;x
1313;212;234;175;prabym;x
1314;250;60;226;prabyn;x
1315;251;224;146;prabyo;x
1316;204;230;145;prabyp;x
1317;134;219;237;prabyq;x
1318;208;185;108;prabyr;x
1319;240;156;106;prabys;x
1320;120;195;204;prabyt;x
1321;219;190;159;prabyu;x
1322;254;218;180;prabyv;x
1323;159;169;206;prabyw;x
1324;117;246;206;prabyx;x
1325;137;194;241;prabyy;x
1326;218;66;219;prabyz;x
1327;240;203;172;prabza;x
1328;223;251;162;prabzb;x
1329;240;103;233;prabzc;x
1330;50;240;239;prabzd;x
1331;227;120;201;prabze;x
1332;232;224;50;prabzf;x
1333;229;202;230;prabzg;x
1334;241;211;143;prabzh;x
1335;169;190;244;prabzi;x
1336;149;223;167;prabzj;x
1337;209;171;135;prabzk;x
1338;140;140;238;prabzl;x
1339;188;159;254;prabzm;x
1340;196;113;229;prabzn;x
1341;183;133;227;prabzo;x
1342;145;226;172;prabzp;x
1343;191;194;186;prabzq;x
1344;169;237;95;prabzr;x
1345;195;148;252;prabzs;x
1346;181;202;150;prabzt;x
1347;232;229;59;prabzu;x
1348;244;176;184;prabzv;x
1349;46;235;254;prabzw;x
1350;135;250;172;prabzx;x
1351;235;185;138;prabzy;x
1352;88;194;253;prabzz;x
1353;194;204;103;pracaa;x
1354;247;169;224;pracab;x
1355;200;161;145;pracac;x
1356;180;163;238;pracad;x
1357;231;173;132;pracae;x
1358;142;183;217;pracaf;x
1359;106;221;245;pracag;x
1360;93;195;225;pracah;x
1361;70;238;220;pracai;x
1362;221;155;151;pracaj;x
1363;222;248;122;pracak;x
1364;246;204;160;pracal;x
1365;212;252;244;pracam;x
1366;245;185;237;pracan;x
1367;247;207;188;pracao;x
1368;242;94;176;pracap;x
1369;148;169;239;pracaq;x
1370;177;254;107;pracar;x
1371;243;250;105;pracas;x
1372;213;221;217;pracat;x
1373;166;233;241;pracau;x
1374;107;190;238;pracav;x
1375;194;246;166;pracaw;x
1376;176;153;184;pracax;x
1377;194;250;152;pracay;x
1378;142;207;253;pracaz;x
1379;222;253;167;pracba;x
1380;245;139;236;pracbb;x
1381;247;84;223;pracbc;x
1382;190;231;225;pracbd;x
1383;234;244;230;pracbe;x
1384;254;182;160;pracbf;x
1385;235;145;241;pracbg;x
1386;210;251;250;pracbh;x
1387;94;229;185;pracbi;x
1388;238;168;157;pracbj;x
1389;205;177;194;pracbk;x
1390;239;158;183;pracbl;x
1391;237;209;233;pracbm;x
1392;198;201;227;pracbn;x
1393;200;87;214;pracbo;x
1394;188;157;173;pracbp;x
1395;179;151;228;pracbq;x
1396;254;66;251;pracbr;x
1397;171;154;218;pracbs;x
1398;171;178;180;pracbt;x
1399;187;169;248;pracbu;x
1400;197;220;245;pracbv;x
1401;231;229;181;pracbw;x
1402;145;199;227;pracbx;x
1403;191;235;213;pracby;x
1404;120;240;204;pracbz;x
1405;151;233;236;pracca;x
1406;160;219;191;praccb;x
1407;246;181;241;praccc;x
1408;162;214;179;praccd;x
1409;153;207;220;pracce;x
1410;234;73;252;praccf;x
1411;156;127;225;praccg;x
1412;130;143;237;pracch;x
1413;96;214;197;pracci;x
1414;239;246;156;praccj;x
1415;175;202;228;pracck;x
1416;170;248;150;praccl;x
1417;202;163;208;praccm;x
1418;192;246;169;praccn;x
1419;218;176;152;pracco;x
1420;236;85;236;praccp;x
1421;210;247;142;praccq;x
1422;16;20;44;praccr;x
1423;152;172;216;praccs;x
1424;175;173;208;pracct;x
1425;117;240;149;praccu;x
1426;239;110;160;praccv;x
1427;238;129;187;praccw;x
1428;212;237;148;praccx;x
1429;178;253;161;praccy;x
1430;90;172;240;praccz;x
1431;219;63;249;pracda;x
1432;219;240;58;pracdb;x
1433;84;188;246;pracdc;x
1434;223;200;146;pracdd;x
1435;79;224;236;pracde;x
1436;79;192;243;pracdf;x
1437;117;234;245;pracdg;x
1438;209;220;235;pracdh;x
1439;210;203;162;pracdi;x
1440;179;227;110;pracdj;x
1441;184;192;185;pracdk;x
1442;238;176;122;pracdl;x
1443;242;138;186;pracdm;x
1444;211;185;180;pracdn;x
1445;81;248;233;pracdo;x
1446;164;246;215;pracdp;x
1447;242;247;130;pracdq;x
1448;87;247;168;pracdr;x
1449;237;88;240;pracds;x
1450;247;201;66;pracdt;x
1451;214;211;77;pracdu;x
1452;254;249;139;pracdv;x
1453;244;134;170;pracdw;x
1454;168;231;160;pracdx;x
1455;252;157;204;pracdy;x
1456;144;241;244;pracdz;x
1457;242;63;211;pracea;x
1458;248;222;47;praceb;x
1459;77;223;211;pracec;x
1460;151;226;199;praced;x
1461;58;203;254;pracee;x
1462;197;227;115;pracef;x
1463;199;235;100;praceg;x
1464;200;105;228;praceh;x
1465;253;207;174;pracei;x
1466;214;193;201;pracej;x
1467;229;155;140;pracek;x
1468;232;238;221;pracel;x
1469;217;107;242;pracem;x
1470;184;111;219;pracen;x
1471;235;245;248;praceo;x
1472;159;199;245;pracep;x
1473;236;243;107;praceq;x
1474;228;122;214;pracer;x
1475;73;226;239;praces;x
1476;47;254;221;pracet;x
1477;180;201;184;praceu;x
1478;222;254;114;pracev;x
1479;61;206;253;pracew;x
1480;145;192;254;pracex;x
1481;210;192;229;pracey;x
1482;168;99;246;pracez;x
1483;184;172;226;pracfa;x
1484;84;242;210;pracfb;x
1485;243;77;187;pracfc;x
1486;180;162;221;pracfd;x
1487;231;201;211;pracfe;x
1488;221;167;115;pracff;x
1489;33;239;239;pracfg;x
1490;214;251;229;pracfh;x
1491;236;207;204;pracfi;x
1492;184;230;166;pracfj;x
1493;113;164;249;pracfk;x
1494;80;232;204;pracfl;x
1495;139;150;242;pracfm;x
1496;230;166;156;pracfn;x
1497;169;119;222;pracfo;x
1498;219;209;133;pracfp;x
1499;207;231;187;pracfq;x
1500;189;129;191;pracfr;x
1501;210;143;191;pracfs;x
1502;208;206;240;pracft;x
1503;224;209;162;pracfu;x
1504;211;204;228;pracfv;x
1505;252;145;184;pracfw;x
1506;56;241;218;pracfx;x
1507;205;233;218;pracfy;x
1508;221;230;234;pracfz;x
1509;131;233;185;pracga;x
1510;243;130;252;pracgb;x
1511;152;184;214;pracgc;x
1512;158;207;226;pracgd;x
1513;195;201;230;pracge;x
1514;214;208;206;pracgf;x
1515;245;135;148;pracgg;x
1516;3;252;253;pracgh;x
1517;203;236;107;pracgi;x
1518;72;234;204;pracgj;x
1519;146;185;191;pracgk;x
1520;242;32;231;pracgl;x
1521;140;220;196;pracgm;x
1522;151;147;210;pracgn;x
1523;237;183;119;pracgo;x
1524;210;245;99;pracgp;x
1525;106;201;232;pracgq;x
1526;164;201;150;pracgr;x
1527;133;232;193;pracgs;x
1528;142;196;251;pracgt;x
1529;247;185;177;pracgu;x
1530;217;218;225;pracgv;x
1531;87;230;247;pracgw;x
1532;226;204;117;pracgx;x
1533;151;154;241;pracgy;x
1534;92;248;254;pracgz;x
1535;171;135;201;pracha;x
1536;243;249;190;prachb;x
1537;226;219;156;prachc;x
1538;206;248;85;prachd;x
1539;221;63;243;prache;x
1540;207;88;210;prachf;x
1541;177;163;178;prachg;x
1542;253;156;111;prachh;x
1543;250;113;223;prachi;x
1544;202;225;108;prachj;x
1545;175;203;197;prachk;x
1546;174;223;222;prachl;x
1547;235;85;211;prachm;x
1548;235;135;238;prachn;x
1549;167;254;203;pracho;x
1550;233;234;241;prachp;x
1551;211;206;189;prachq;x
1552;202;146;237;prachr;x
1553;232;66;253;prachs;x
1554;247;118;246;pracht;x
1555;131;215;177;prachu;x
1556;187;123;209;prachv;x
1557;226;154;170;prachw;x
1558;219;190;100;prachx;x
1559;243;226;149;prachy;x
1560;144;225;234;prachz;x
1561;238;221;95;pracia;x
1562;192;170;221;pracib;x
1563;179;124;248;pracic;x
1564;221;161;144;pracid;x
1565;155;225;197;pracie;x
1566;119;205;252;pracif;x
1567;150;195;191;pracig;x
1568;247;219;107;pracih;x
1569;194;139;232;pracii;x
1570;203;254;164;pracij;x
1571;201;205;194;pracik;x
1572;234;172;239;pracil;x
1573;121;160;241;pracim;x
1574;225;252;111;pracin;x
1575;87;252;222;pracio;x
1576;193;194;128;pracip;x
1577;186;218;115;praciq;x
1578;41;230;240;pracir;x
1579;249;204;84;pracis;x
1580;189;240;254;pracit;x
1581;93;203;241;praciu;x
1582;174;209;204;praciv;x
1583;207;180;253;praciw;x
1584;107;209;189;pracix;x
1585;170;202;142;praciy;x
1586;248;234;119;praciz;x
1587;242;99;229;pracja;x
1588;179;190;230;pracjb;x
1589;228;226;240;pracjc;x
1590;164;248;208;pracjd;x
1591;109;205;253;pracje;x
1592;238;179;172;pracjf;x
1593;132;209;248;pracjg;x
1594;219;213;187;pracjh;x
1595;161;164;253;pracji;x
1596;137;227;198;pracjj;x
1597;243;202;103;pracjk;x
1598;186;250;148;pracjl;x
1599;203;193;207;pracjm;x
1600;206;107;191;pracjn;x
1601;172;207;149;pracjo;x
1602;202;239;220;pracjp;x
1603;202;97;220;pracjq;x
1604;186;147;226;pracjr;x
1605;192;185;179;pracjs;x
1606;172;199;230;pracjt;x
1607;168;245;118;pracju;x
1608;234;207;176;pracjv;x
1609;192;217;180;pracjw;x
1610;225;152;148;pracjx;x
1611;233;112;250;pracjy;x
1612;248;190;75;pracjz;x
1613;132;240;207;pracka;x
1614;129;243;165;prackb;x
1615;251;87;213;prackc;x
1616;172;129;230;prackd;x
1617;193;193;159;pracke;x
1618;218;240;136;prackf;x
1619;176;239;247;prackg;x
1620;171;127;226;prackh;x
1621;217;245;138;pracki;x
1622;209;184;108;prackj;x
1623;251;225;120;prackk;x
1624;242;90;219;prackl;x
1625;158;206;237;prackm;x
1626;253;225;251;prackn;x
1627;174;201;210;pracko;x
1628;249;108;240;prackp;x
1629;126;246;161;prackq;x
1630;134;196;192;prackr;x
1631;174;244;101;pracks;x
1632;172;213;143;prackt;x
1633;198;231;209;pracku;x
1634;241;254;11;prackv;x
1635;183;232;188;prackw;x
1636;217;156;244;prackx;x
1637;146;219;251;pracky;x
1638;229;184;231;prackz;x
1639;219;253;236;pracla;x
1640;186;167;206;praclb;x
1641;227;149;182;praclc;x
1642;219;229;133;pracld;x
1643;130;196;190;pracle;x
1644;125;202;222;praclf;x
1645;218;92;232;praclg;x
1646;238;213;233;praclh;x
1647;239;225;91;pracli;x
1648;194;179;239;praclj;x
1649;144;254;215;praclk;x
1650;164;232;204;pracll;x
1651;177;212;253;praclm;x
1652;253;87;187;pracln;x
1653;195;203;230;praclo;x
1654;245;193;103;praclp;x
1655;187;104;234;praclq;x
1656;192;219;161;praclr;x
1657;192;249;232;pracls;x
1658;243;235;215;praclt;x
1659;223;143;157;praclu;x
1660;223;136;152;praclv;x
1661;213;189;241;praclw;x
1662;242;128;209;praclx;x
1663;225;147;243;pracly;x
1664;246;249;251;praclz;x
1665;250;194;125;pracma;x
1666;94;171;241;pracmb;x
1667;238;212;239;pracmc;x
1668;157;252;162;pracmd;x
1669;246;249;121;pracme;x
1670;203;107;246;pracmf;x
1671;254;205;72;pracmg;x
1672;234;47;243;pracmh;x
1673;250;55;241;pracmi;x
1674;246;197;193;pracmj;x
1675;135;170;232;pracmk;x
1676;157;150;198;pracml;x
1677;200;138;243;pracmm;x
1678;150;171;218;pracmn;x
1679;129;229;202;pracmo;x
1680;231;139;247;pracmp;x
1681;160;149;215;pracmq;x
1682;235;100;235;pracmr;x
1683;215;234;140;pracms;x
1684;231;187;234;pracmt;x
1685;158;175;226;pracmu;x
1686;108;226;235;pracmv;x
1687;236;183;207;pracmw;x
1688;246;128;206;pracmx;x
1689;198;200;234;pracmy;x
1690;130;174;244;pracmz;x
1691;102;232;226;pracna;x
1692;67;243;211;pracnb;x
1693;230;181;166;pracnc;x
1694;161;113;247;pracnd;x
1695;245;150;227;pracne;x
1696;62;205;234;pracnf;x
1697;82;244;236;pracng;x
1698;165;129;210;pracnh;x
1699;151;200;249;pracni;x
1700;204;234;172;pracnj;x
1701;239;212;254;pracnk;x
1702;249;77;219;pracnl;x
1703;205;209;108;pracnm;x
1704;236;146;236;pracnn;x
1705;254;243;115;pracno;x
1706;253;114;251;pracnp;x
1707;226;155;120;pracnq;x
1708;179;222;189;pracnr;x
1709;223;112;191;pracns;x
1710;124;213;249;pracnt;x
1711;245;147;225;pracnu;x
1712;160;213;150;pracnv;x
1713;212;198;159;pracnw;x
1714;196;129;184;pracnx;x
1715;141;214;209;pracny;x
1716;197;248;178;pracnz;x
1717;66;209;253;pracoa;x
1718;105;234;169;pracob;x
1719;234;210;202;pracoc;x
1720;176;186;236;pracod;x
1721;236;136;183;pracoe;x
1722;239;215;49;pracof;x
1723;204;250;95;pracog;x
1724;99;250;246;pracoh;x
1725;205;134;241;pracoi;x
1726;93;181;234;pracoj;x
1727;162;197;148;pracok;x
1728;188;203;182;pracol;x
1729;209;241;168;pracom;x
1730;117;174;226;pracon;x
1731;231;169;146;pracoo;x
1732;170;231;144;pracop;x
1733;251;144;189;pracoq;x
1734;238;216;126;pracor;x
1735;110;139;254;pracos;x
1736;204;186;173;pracot;x
1737;158;186;164;pracou;x
1738;221;128;205;pracov;x
1739;107;214;236;pracow;x
1740;246;113;165;pracox;x
1741;199;159;165;pracoy;x
1742;93;250;171;pracoz;x
1743;251;136;124;pracpa;x
1744;237;142;179;pracpb;x
1745;107;251;171;pracpc;x
1746;222;207;77;pracpd;x
1747;254;213;214;pracpe;x
1748;242;100;222;pracpf;x
1749;182;198;252;pracpg;x
1750;220;117;229;pracph;x
1751;158;198;232;pracpi;x
1752;144;154;214;pracpj;x
1753;86;206;238;pracpk;x
1754;208;245;128;pracpl;x
1755;159;99;252;pracpm;x
1756;199;180;134;pracpn;x
1757;193;216;149;pracpo;x
1758;131;156;218;pracpp;x
1759;225;183;95;pracpq;x
1760;80;237;249;pracpr;x
1761;190;229;227;pracps;x
1762;229;87;211;pracpt;x
1763;248;120;149;pracpu;x
1764;188;234;124;pracpv;x
1765;191;184;166;pracpw;x
1766;185;141;219;pracpx;x
1767;235;187;204;pracpy;x
1768;191;235;78;pracpz;x
1769;247;128;217;pracqa;x
1770;206;190;163;pracqb;x
1771;234;83;199;pracqc;x
1772;239;201;221;pracqd;x
1773;253;116;132;pracqe;x
1774;147;191;237;pracqf;x
1775;91;209;254;pracqg;x
1776;232;243;80;pracqh;x
1777;181;209;152;pracqi;x
1778;102;213;232;pracqj;x
1779;251;26;242;pracqk;x
1780;218;177;125;pracql;x
1781;115;243;240;pracqm;x
1782;234;115;164;pracqn;x
1783;122;167;236;pracqo;x
1784;249;237;114;pracqp;x
1785;144;203;214;pracqq;x
1786;247;164;234;pracqr;x
1787;238;247;183;pracqs;x
1788;201;214;212;pracqt;x
1789;146;174;186;pracqu;x
1790;203;114;194;pracqv;x
1791;207;128;200;pracqw;x
1792;172;164;190;pracqx;x
1793;202;241;115;pracqy;x
1794;150;253;181;pracqz;x
1795;236;155;218;pracra;x
1796;237;133;205;pracrb;x
1797;48;233;242;pracrc;x
1798;237;74;214;pracrd;x
1799;178;220;190;pracre;x
1800;198;208;99;pracrf;x
1801;235;78;221;pracrg;x
1802;154;211;160;pracrh;x
1803;181;219;173;pracri;x
1804;149;175;182;pracrj;x
1805;145;194;219;pracrk;x
1806;252;196;93;pracrl;x
1807;229;151;142;pracrm;x
1808;186;94;234;pracrn;x
1809;194;147;170;pracro;x
1810;52;241;243;pracrp;x
1811;121;229;211;pracrq;x
1812;236;116;197;pracrr;x
1813;248;85;226;pracrs;x
1814;127;187;220;pracrt;x
1815;238;214;204;pracru;x
1816;128;202;174;pracrv;x
1817;230;240;240;pracrw;x
1818;171;222;116;pracrx;x
1819;187;128;209;pracry;x
1820;219;211;91;pracrz;x
1821;210;195;246;pracsa;x
1822;210;161;152;pracsb;x
1823;107;236;222;pracsc;x
1824;245;253;80;pracsd;x
1825;186;223;126;pracse;x
1826;236;225;105;pracsf;x
1827;222;137;178;pracsg;x
1828;244;79;181;pracsh;x
1829;231;81;229;pracsi;x
1830;184;241;254;pracsj;x
1831;194;227;139;pracsk;x
1832;250;210;206;pracsl;x
1833;89;239;202;pracsm;x
1834;212;183;175;pracsn;x
1835;220;85;217;pracso;x
1836;136;229;231;pracsp;x
1837;41;215;252;pracsq;x
1838;179;233;114;pracsr;x
1839;116;241;253;pracss;x
1840;163;207;195;pracst;x
1841;90;226;230;pracsu;x
1842;241;222;136;pracsv;x
1843;227;143;178;pracsw;x
1844;163;148;197;pracsx;x
1845;244;106;160;pracsy;x
1846;231;234;254;pracsz;x
1847;242;78;228;practa;x
1848;176;198;244;practb;x
1849;192;181;157;practc;x
1850;189;116;247;practd;x
1851;167;250;198;practe;x
1852;232;236;142;practf;x
1853;254;247;103;practg;x
1854;249;231;245;practh;x
1855;129;225;202;practi;x
1856;125;218;239;practj;x
1857;204;205;151;practk;x
1858;221;219;215;practl;x
1859;170;231;165;practm;x
1860;197;247;71;practn;x
1861;151;209;229;practo;x
1862;206;148;152;practp;x
1863;82;186;254;practq;x
1864;107;225;249;practr;x
1865;100;225;196;practs;x
1866;226;148;156;practt;x
1867;209;196;253;practu;x
1868;186;249;165;practv;x
1869;242;195;254;practw;x
1870;74;251;178;practx;x
1871;224;248;99;practy;x
1872;238;158;118;practz;x
1873;204;144;220;pracua;x
1874;126;218;167;pracub;x
1875;116;215;248;pracuc;x
1876;186;236;205;pracud;x
1877;190;160;228;pracue;x
1878;90;254;161;pracuf;x
1879;85;197;251;pracug;x
1880;206;191;211;pracuh;x
1881;233;63;223;pracui;x
